All Transactions Report Created: 2018-08-15 22:57:58 -0500
,
﻿Filter Criteria:,All Dates
,All Accounts
,Any Status
,Selected Transactions
,
﻿,"Split","Date","Type","Action","Check #","Security","Payee","Description","Category","Comm/Fee","Shares","Amount","Account","Memo/Notes"
﻿,,"7/26/2018","Interest Income","",,"EXTENDED INSURANCE SWEEP DEPOSIT ACCOUNT 3.50% 03/01/2043","EXTENDED INSURANCE SWEEP DEPOSIT ACCOUNT 3.50% 03/01/2043","Investments:Interest Income","Investments:Interest Income","",,"0.27","TD IRA (E*Trade)","INT - EXTENDED INSURANCE SWEEP - DEPOSIT ACCOUNT"
﻿,,"7/26/2018","Interest Income","",,"EXTENDED INSURANCE SWEEP DEPOSIT ACCOUNT 3.50% 03/01/2043","EXTENDED INSURANCE SWEEP DEPOSIT ACCOUNT 3.50% 03/01/2043","Investments:Interest Income","Investments:Interest Income","",,"0.07","GD IRA (E*Trade)","INT - EXTENDED INSURANCE SWEEP - DEPOSIT ACCOUNT"
﻿,,"7/26/2018","Interest Income","",,"EXTENDED INSURANCE SWEEP DEPOSIT ACCOUNT 3.50% 03/01/2043","EXTENDED INSURANCE SWEEP DEPOSIT ACCOUNT 3.50% 03/01/2043","Investments:Interest Income","Investments:Interest Income","",,"0.04","ETrade","INT - EXTENDED INSURANCE SWEEP - DEPOSIT ACCOUNT"
﻿,,"7/25/2018","Payment/Deposit","",,"","Sears","Transfer:[Checking]","Transfer:[Checking]","",,"1,130.48","Sears 9920(29)","payment (auto)"
﻿,,"7/25/2018","Payment/Deposit","",,"","Sears","Transfer:[Sears 9920(29)]","Transfer:[Sears 9920(29)]","",,"-1,130.48","Checking","payment (auto)"
﻿,,"7/24/2018","Payment/Deposit","",,"","Koko F Husain","Uncategorized","Uncategorized","",,"-40.34","Discover 3128(6)",
﻿,,"7/24/2018","Payment/Deposit","",,"","Wal-Mart","Shopping","Shopping","",,"-1,000.59","Discover 3128(6)",
﻿,,"7/23/2018","Payment/Deposit","",,"","AT&T","Bills & Utilities:Mobile Phone","Bills & Utilities:Mobile Phone","",,"-277.96","Discover4221(6)",
﻿,,"7/23/2018","Payment/Deposit","",,"","Wal-Mart","Shopping","Shopping","",,"-28.21","Discover 3128(6)",
﻿,,"7/23/2018","Payment/Deposit","",,"","Costco","Shopping","Shopping","",,"-76.30","Costco Visa 5455",
﻿,,"7/23/2018","Payment/Deposit","",,"","Costco","Shopping","Shopping","",,"-82.63","Costco Visa 5455",
﻿,,"7/22/2018","Payment/Deposit","",,"","Westlake Hardware","Home:Home Improvement","Home:Home Improvement","",,"-45.06","Discover 3128(6)",
﻿,,"7/22/2018","Payment/Deposit","",,"","Home Depot","Home:Home Improvement","Home:Home Improvement","",,"-33.98","Discover 3128(6)",
﻿,,"7/20/2018","Payment/Deposit","",,"","Michaels","Shopping:Hobbies","Shopping:Hobbies","",,"-26.15","Discover 3128(6)",
﻿,,"7/20/2018","Payment/Deposit","",,"","Payment","Transfer:[JC Penney 4541 (28)]","Transfer:[JC Penney 4541 (28)]","",,"-74.69","Checking","payment (auto)"
﻿,,"7/20/2018","Payment/Deposit","",,"","Payment","Transfer:[Checking]","Transfer:[Checking]","",,"74.69","JC Penney 4541 (28)","payment (auto)"
﻿,,"7/20/2018","Payment/Deposit","",,"","Kcpt Donations","Charity:Cash","Charity:Cash","",,"-19.00","Checking",
﻿,,"7/19/2018","Payment/Deposit","",,"","Wal-Mart","Shopping","Shopping","",,"-74.65","Discover 3128(6)",
﻿,,"7/19/2018","Payment/Deposit","",,"","KOHLS","Transfer:[Checking]","Transfer:[Checking]","",,"385.98","Kohls 3215(25)","payment (auto)"
﻿,,"7/19/2018","Payment/Deposit","",,"","KOHLS","Transfer:[Kohls 3215(25)]","Transfer:[Kohls 3215(25)]","",,"-385.98","Checking","payment (auto)"
﻿,,"7/18/2018","Payment/Deposit","PAYMENT",,"","AAA","Insurance:Automobile","Insurance:Automobile","",,"-114.00","BOA AAA 8044(1)",
﻿,,"7/18/2018","Payment/Deposit","",,"","Domino's Pizza","Food & Dining:Fast Food","Food & Dining:Fast Food","",,"-8.70","Discover 3128(6)",
﻿,,"7/18/2018","Payment/Deposit","",,"","Amazon Kindle","Shopping:Books","Shopping:Books","",,"-9.99","Discover 3128(6)","mistakes were made"
﻿,,"7/18/2018","Payment/Deposit","",,"","Profile Overland P","Groceries","Groceries","",,"-30.37","Discover 3128(6)",
﻿,,"7/18/2018","Payment/Deposit","",,"","Amazon","Shopping","Shopping","",,"-8.99","Discover 3128(6)",
﻿,,"7/17/2018","Payment/Deposit","",,"","Wal-Mart","Shopping","Shopping","",,"21.62","Discover 3128(6)",
﻿,,"7/17/2018","Payment/Deposit","",,"","McDonald's","Food & Dining:Fast Food","Food & Dining:Fast Food","",,"-5.25","Discover 3128(6)",
﻿,,"7/17/2018","Payment/Deposit","",,"","Wal-Mart","Shopping","Shopping","",,"-43.38","Discover 3128(6)",
﻿,,"7/17/2018","Payment/Deposit","",,"","LaZBoy","Transfer:[Checking]","Transfer:[Checking]","",,"257.00","LaZBoy","payment (auto)"
﻿,,"7/17/2018","Payment/Deposit","",,"","LaZBoy","Transfer:[LaZBoy]","Transfer:[LaZBoy]","",,"-257.00","Checking","payment (auto)"
﻿,,"7/16/2018","Payment/Deposit","",,"","Price Chopper","Groceries","Groceries","",,"-13.05","Sears 9920(29)",
﻿,,"7/16/2018","Payment/Deposit","",,"","Hen House","Food & Dining:Groceries","Food & Dining:Groceries","",,"-5.46","Discover4221(6)",
﻿,,"7/16/2018","Payment/Deposit","",,"","Sears","Shopping","Shopping","",,"-49.99","Discover 3128(6)",
﻿,,"7/15/2018","Payment/Deposit","",,"","Dick Clothing Sporting","Shopping:Clothing","Shopping:Clothing","",,"-75.71","Discover 3128(6)",
﻿,,"7/15/2018","Payment/Deposit","",,"","Wal-Mart","Shopping","Shopping","",,"-152.09","Discover 3128(6)",
﻿,,"7/15/2018","Payment/Deposit","",,"","Dick Clothing Sporting","Shopping:Clothing","Shopping:Clothing","",,"-8.71","Discover 3128(6)",
﻿,,"7/15/2018","Payment/Deposit","",,"","Dick Clothing Sporting","Shopping:Clothing","Shopping:Clothing","",,"-14.82","Discover 3128(6)",
