dohlcv Date,Open,High,Low,Close,Volume,Adj Close
2001-12-14,5.57,5.57,5.57,5.57,000,2.408781
2001-12-13,5.54,5.54,5.54,5.54,000,2.395807
2001-12-12,5.89,5.89,5.89,5.89,000,2.436025
2001-12-11,5.89,5.89,5.89,5.89,000,2.436025
2001-12-10,5.89,5.89,5.89,5.89,000,2.436025
2001-12-07,5.99,5.99,5.99,5.99,000,2.477384
2001-12-06,6.04,6.04,6.04,6.04,000,2.498063
2001-12-05,6.07,6.07,6.07,6.07,000,2.510471
2001-12-04,5.92,5.92,5.92,5.92,000,2.448433
2001-12-03,5.83,5.83,5.83,5.83,000,2.41121
2001-11-30,5.87,5.87,5.87,5.87,000,2.427754
2001-11-29,5.87,5.87,5.87,5.87,000,2.427754
2001-11-28,5.82,5.82,5.82,5.82,000,2.407074
2001-11-27,5.94,5.94,5.94,5.94,000,2.456705
2001-11-26,5.96,5.96,5.96,5.96,000,2.464976
2001-11-23,5.92,5.92,5.92,5.92,000,2.448433
2001-11-21,5.85,5.85,5.85,5.85,000,2.419482
2001-11-20,5.88,5.88,5.88,5.88,000,2.43189
2001-11-19,5.91,5.91,5.91,5.91,000,2.444297
2001-11-16,5.84,5.84,5.84,5.84,000,2.415346
2001-11-15,5.82,5.82,5.82,5.82,000,2.407074
2001-11-14,5.87,5.87,5.87,5.87,000,2.427754
2001-11-13,5.91,5.91,5.91,5.91,000,2.444297
2001-11-12,5.80,5.80,5.80,5.80,000,2.398803
2001-11-09,5.82,5.82,5.82,5.82,000,2.407074
2001-11-08,5.80,5.80,5.80,5.80,000,2.398803
2001-11-07,5.77,5.77,5.77,5.77,000,2.386395
2001-11-06,5.78,5.78,5.78,5.78,000,2.390531
2001-11-05,5.70,5.70,5.70,5.70,000,2.357444
2001-11-02,5.63,5.63,5.63,5.63,000,2.328493
2001-11-01,5.65,5.65,5.65,5.65,000,2.336765
2001-10-31,5.53,5.53,5.53,5.53,000,2.287134
2001-10-30,5.52,5.52,5.52,5.52,000,2.282998
2001-10-29,5.64,5.64,5.64,5.64,000,2.332629
2001-10-26,5.77,5.77,5.77,5.77,000,2.386395
2001-10-25,5.71,5.71,5.71,5.71,000,2.36158
2001-10-24,5.62,5.62,5.62,5.62,000,2.324357
2001-10-23,5.63,5.63,5.63,5.63,000,2.328493
2001-10-22,5.66,5.66,5.66,5.66,000,2.3409
2001-10-19,5.56,5.56,5.56,5.56,000,2.299542
